HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0104.1090""",0104.1090 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,EC,MV,",,,
,,,,"HK,MO",,,
,,,5,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
"""0104.2010""",0104.2010 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0104.2090""",0104.2090 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,  KR,AU,GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,EC,MV,",,,
,,,,"HK,MO",,,
,,,5,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
"""01.05""","01.05 ,",,,,,,
"""0105.1110""",0105.1110 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0105.1190""",0105.1190 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"IS,KR, RAU,GE,MU, AS ,",,"LA,",
,,,,"RAU R , NZ ,KH,MV,HK,",,MM,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.1210""",0105.1210 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0105.1290""",0105.1290 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.1310""",0105.1310 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RJP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0105.1390""",0105.1390 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"IS,KR,AU,GE,MU,RAS ,",,LA,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.1410""",0105.1410 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0105.1490""",0105.1490 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"IS,KR, RAU,GE,MU, AS ,",,LA,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.1510""",0105.1510 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0105.1590""",0105.1590 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"IS, RKR,AU,GE,MU, AS ,",,LA,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.9410""",0105.9410 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0105.9490""",0105.9490 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"RKR ,RS",,,
,,,6.4,RJP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.9910""",0105.9910 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0105.9991""",0105.9991  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.9992""",0105.9992  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.9993""",0105.9993  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0105.9994""",0105.9994  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""1.06""",1.06,1.06,,,,,
"""0106.1110""",0106.1110 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.1190""",0106.1190 -,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,  KR,AU,GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"RKR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
"""106.1211""",106.1211,10?0,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,,"RAU R , KR ,RNZ ,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,8,NI,,,
,,,9,EC,,,
"""106.1219""",106.1219,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""106.1221""",106.1221,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""106.1229""",106.1229,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.1310""",0106.1310 -,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RJP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.1390""",0106.1390 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,EC,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
"""0106.1410""",0106.1410 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.1490""",0106.1490 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.1910""",0106.1910 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.1990""",0106.1990 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""0106.2011""",0106.2011  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.2019""",0106.2019  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.2020""",0106.2020 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"RIS,KR,AU,GE,MU, AS ,",,MM,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
"""0106.2090""",0106.2090 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"IS, RKR,  AU,  GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.3110""",0106.3110 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.3190""",0106.3190 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""(""",(,,,,,,
"""0106.3210""",0106.3210 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.3290""",0106.3290 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.3310""",0106.3310 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.3390""",0106.3390 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.3910""",0106.3910 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.3921""",0106.3921  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"RIS,  KR,  AU,GE,MU, AS ,",,MM,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.3923""",0106.3923  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"RIS,  KR,AU,GE,MU, AS ,",,MM,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.3929""",0106.3929  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"RIS,KR,AU,GE,MU, AS ,",,MM,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.3990""",0106.3990 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,RJP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0106.4110""",0106.4110 -,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.4190""",0106.4190 -,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU R , KR R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,"AP,EC",,,
"""0106.4910""",0106.4910 -,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.4990""",0106.4990 -,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,  KR,AU,GE,MU, AS ,",,,
,,,,"RAU R , KR , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
,,,9,AP,,,
"""106.9011""",106.9011,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RJP ,RKR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""106.9019""",106.9019,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0106.9090""",0106.9090 -,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,"AP,EC",,,
"""2.01""",2.01,2.01,,,,,
"""0201.1000""",0201.1000 -,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,NI,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS R , KR R , NZ",,,
,,,16,MV,,,
,,,18,EC,,,
"""0201.2000""",0201.2000 -,12,0,"AS,CL,PK,NZ,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,NI,HK,",,"KH,",
,,,,MO,,LA,
,,,0.7,PE,,,
,,,3.2,KR,,,
,,,9.6,"RAS R , KR R , NZ ,RS,MV",,,
,,,10.4,EC,,,
"""0201.3000""",0201.3000 -,12,0,"AS,CL,PK,NZ,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,NI,HK,",,KH,
,,,,MO,,,
,,,0.7,PE,,,
,,,3.2,KR,,,
,,,7.2,EC,,,
,,,9.6,"AS , KR R , NZ ,RS,MV",,,
"""2.02""",2.02,2.02,,,,,
"""0202.1000""",0202.1000 -,25,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",70
,,,,"CH,IS,AU,MU,KH,NI,HK,",,"KH,",
,,,,MO,,LA,
,,,11.2,KR,,,
,,,15,"EC,RS",,,
,,,20,"AS R , KR , NZ ,MV",,,
"""0202.2000""",0202.2000 -,12,0,"AS,CL,PK,NZ,CR,CH,",0,"LD,",70
,,,,"IS,AU,MU,KH,NI,HK,",,"KH,",
,,,,MO,,LA,
,,,0.7,PE,,,
,,,3.2,KR,,,
,,,9.6,"AS ,RKR ,RNZ ,EC,RS,",,,
,,,,MV,,,
"""0202.3000""",0202.3000 - 12,12,0,"AS,CL,PK,NZ,CR,CH,",0,"LD,",70
,,,,"IS,AU,MU,KH,NI,HK,",,KH,
,,,,MO,,,
,,,0.7,PE,,,
,,,3.2,KR,,,
,,,9.6,"AS R , KR R , NZ ,RS,MV",,,
,,,10.4,EC,,,
"""2.03""",2.03,2.03,,,,,
"""0203.1110""",0203.1110 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,16,MV,,,
,,,17.3,NI,,,
"""0203.1190""",0203.1190 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,16,MV,,,
,,,17.3,NI,,,
"""0203.1200""",0203.1200  20,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,16,MV,,,
,,,17.3,NI,,,
"""0203.1900""",0203.1900  20,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,16,MV,,,
,,,17.3,NI,,,
,,,18,EC,,,
"""0203.2110""",0203.2110 - 12,12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,KR,AU,GE,MU,RAS ,",,"KH,",
,,,,"RAU , NZ ,KH,RS,MV,HK,",,LA,
,,,,MO,,,
,,,6,PK,,,
,,,7.2,KR,,,
,,,7.6,JP,,,
,,,9.6,EC,,,
,,,10.4,NI,,,
"""0203.2190""",0203.2190 - 12,12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"RIS,  KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,RS,MV,HK,",,LA,
,,,,MO,,,
,,,6,PK,,,
,,,7.2,RKR,,,
,,,7.6,JP,,,
,,,9.6,NI,,,
