HS_Code,VAT_Rate
0305530000,9.0%
0305540000,9.0%
0305591000,9.0%
0305599010,9.0%
0305599090,9.0%
0305610000,9.0%
0305620000,9.0%
0305630000,9.0%
0305640010,9.0%
0305640020,9.0%
0305640090,9.0%
0305691000,9.0%
0305692000,9.0%
0305693000,9.0%
0305699010,9.0%
0305699090,9.0%
0305710010,9.0%
0305710090,9.0%
0305720010,9.0%
0305720090,9.0%
0305790010,9.0%
0305790090,9.0%
0306110000,9.0%
0306120000,9.0%
0306141000,9.0%
0306149011,9.0%
0306149019,9.0%
0306149090,9.0%
0306150000,9.0%
0306161100,9.0%
0306161200,9.0%
0306161900,9.0%
0306162100,9.0%
0306162900,9.0%
0306171100,9.0%
0306171900,9.0%
0306172100,9.0%
0306172900,9.0%
0306191100,9.0%
0306191900,9.0%
0306199000,9.0%
0306311000,9.0%
0306319000,9.0%
0306321000,9.0%
0306329000,9.0%
0306331000,9.0%
0306339100,9.0%
0306339200,9.0%
0306339911,9.0%
0306339919,9.0%
0306339990,9.0%
0306341000,9.0%
0306349000,9.0%
0306351000,9.0%
0306352000,9.0%
0306359001,9.0%
0306359090,9.0%
0306361000,9.0%
0306362000,9.0%
0306369001,9.0%
0306369090,9.0%
0306391000,9.0%
0306399000,9.0%
0306910000,9.0%
0306920000,9.0%
0306931000,9.0%
0306932000,9.0%
0306939000,9.0%
0306940000,9.0%
0306951000,9.0%
0306959000,9.0%
0306990000,9.0%
0307111000,9.0%
0307119000,9.0%
0307120000,9.0%
0307190000,9.0%
0307211010,9.0%
0307211090,9.0%
0307219010,9.0%
0307219090,9.0%
0307220010,9.0%
0307220090,9.0%
0307290010,9.0%
0307290090,9.0%
0307311000,9.0%
0307319001,9.0%
0307319090,9.0%
0307320000,9.0%
0307390000,9.0%
0307421000,9.0%
0307429100,9.0%
0307429900,9.0%
0307431000,9.0%
0307439000,9.0%
0307491000,9.0%
0307499000,9.0%
0307510000,9.0%
0307520000,9.0%
0307590000,9.0%
0307601010,9.0%
0307601090,9.0%
0307609010,9.0%
0307609090,9.0%
0307711010,9.0%
0307711090,9.0%
0307719100,9.0%
0307719910,9.0%
0307719920,9.0%
0307719990,9.0%
0307720010,9.0%
0307720020,9.0%
0307720090,9.0%
0307790010,9.0%
0307790020,9.0%
0307790090,9.0%
0307811000,9.0%
0307819000,9.0%
0307821000,9.0%
0307829000,9.0%
0307830000,9.0%
0307840000,9.0%
0307870000,9.0%
0307880000,9.0%
0307911010,9.0%
0307911090,9.0%
0307919010,9.0%
0307919020,9.0%
0307919030,9.0%
0307919090,9.0%
0307920010,9.0%
0307920020,9.0%
0307920090,9.0%
0307990010,9.0%
0307990020,9.0%
0307990090,9.0%
0308111010,9.0%
0308111090,9.0%
0308119010,9.0%
0308119020,9.0%
0308119090,9.0%
0308120010,9.0%
0308120020,9.0%
0308120090,9.0%
0308190010,9.0%
0308190020,9.0%
0308190090,9.0%
0308211000,9.0%
0308219010,9.0%
0308219090,9.0%
0308220010,9.0%
0308220090,9.0%
0308290010,9.0%
0308290090,9.0%
0308301100,9.0%
0308301900,9.0%
0308309000,9.0%
0308901110,9.0%
0308901190,9.0%
0308901200,9.0%
0308901910,9.0%
0308901990,9.0%
0308909010,9.0%
0308909090,9.0%
0401100000,9.0%
0401200000,9.0%
0401400000,13.0%
0401500000,13.0%
0402100000,13.0%
0402210000,13.0%
0402290000,13.0%
0402910000,13.0%
0402990000,13.0%
0403100000,13.0%
0403900000,13.0%
0404100010,13.0%
0404100090,13.0%
0404900000,13.0%
0405100000,13.0%
0405200000,13.0%
0405900000,13.0%
0406100000,13.0%
0406200000,13.0%
0406300000,13.0%
0406400000,13.0%
0406900000,13.0%
0407110010,9.0%
0407110090,9.0%
0407190010,9.0%
0407190090,9.0%
0407210000,9.0%
0407290010,9.0%
0407290090,9.0%
0407901000,9.0%
0407902000,9.0%
0407909010,9.0%
0407909090,9.0%
0408110000,9.0%
0408190000,9.0%
0408910000,9.0%
0408990000,9.0%
0409000000,9.0%
0410001000,13.0%
0410004100,9.0%
0410004200,13.0%
0410004300,13.0%
0410004900,13.0%
0410009010,13.0%
0410009090,13.0%
0501000000,13.0%
0502101000,9.0%
0502102000,9.0%
0502103000,9.0%
0502901100,9.0%
0502901200,9.0%
0502901910,9.0%
0502901990,9.0%
0502902010,9.0%
0502902090,9.0%
0504001100,9.0%
0504001200,9.0%
0504001300,9.0%
0504001400,9.0%
0504001900,9.0%
0504002100,9.0%
0504002900,9.0%
0504009000,9.0%
0505100010,9.0%
0505100090,9.0%
0505901000,9.0%
0505909010,9.0%
0505909090,9.0%
0506100000,13.0%
0506901110,13.0%
0506901190,13.0%
0506901910,13.0%
0506901990,13.0%
0506909011,9.0%
0506909019,9.0%
0506909021,9.0%
0506909029,9.0%
0506909031,9.0%
0506909039,9.0%
0506909091,9.0%
0506909099,9.0%
0507100010,9.0%
0507100020,9.0%
0507100030,9.0%
0507100090,9.0%
0507901000,9.0%
0507902000,9.0%
0507909010,9.0%
0507909090,9.0%
0508001010,9.0%
0508001090,9.0%
0508009010,9.0%
0508009090,9.0%
0510001010,9.0%
0510001020,9.0%
0510001090,9.0%
0510002010,9.0%
0510002020,9.0%
0510003000,9.0%
0510004000,9.0%
0510009010,9.0%
0510009090,9.0%
0511100010,9.0%
0511100090,9.0%
0511911110,9.0%
0511911190,9.0%
0511911910,9.0%
0511911990,9.0%
0511919010,9.0%
0511919090,9.0%
0511991010,9.0%
0511991090,9.0%
0511992010,9.0%
0511992090,9.0%
0511993000,9.0%
0511994010,9.0%
0511994090,9.0%
0511999010,9.0%
0511999090,9.0%
0601101000,9.0%
0601102100,9.0%
0601102900,9.0%
0601109110,9.0%
0601109191,9.0%
0601109199,9.0%
0601109910,9.0%
0601109991,9.0%
0601109999,9.0%
0601200010,9.0%
0601200020,9.0%
0601200091,9.0%
0601200099,9.0%
0602100010,9.0%
0602100090,9.0%
0602201000,9.0%
0602209000,9.0%
0602301000,9.0%
0602309000,9.0%
0602401000,9.0%
0602409000,9.0%
0602901000,9.0%
0602909110,9.0%
0602909120,9.0%
0602909191,9.0%
0602909199,9.0%
0602909200,9.0%
0602909300,9.0%
0602909410,9.0%
0602909490,9.0%
0602909500,9.0%
0602909910,9.0%
0602909920,9.0%
0602909930,9.0%
0602909991,9.0%
0602909999,9.0%
0603110000,9.0%
0603120000,9.0%
