HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
,,4.8,NI,,,
,,5.1,AP,,,
"""30000""",,,,,,
"""7208.5410""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU R , JP ,RKR , NZ ,",,,
,,,"KH,EC,RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,AP,,,
"""7208.5490""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.6,KR,,,
,,3.6,"AS R , AU R , KR R , NZ",,,
,,4.5,RJP,,,
,,5.1,AP,,,
"""7208.9000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.8,"AS R , AU R , NZ",,,
"""72.09""",,,,,,
,,,,,,
,,,,,,
"""30000""",,,,,,
"""7209.1510""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
"""7209.1590""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
"""1,3""",,,,,,
"""7209.1610""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
,,4.2,AP,,,
"""7209.1691""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,"AP,KR",,,
,,5,"AS R , AU , NZ",,,
"""7209.1699""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,"AP,KR",,,
,,5,"AS R , AU ,RNZ",,,
"""0.5,""",,,,,,
,,,,,,
"""7209.1710""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,0.8,KR,,,
,,1.8,"RAS , AU R , KR R , NZ",,,
,,2.1,AP,,,
,,2.3,JP,,,
"""7209.1791""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,RKR,,,
,,2.1,AP,,,
,,2.3,JP,,,
"""7209.1799""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,2.1,AP,,,
,,2.3,JP,,,
"""0.5""",,,,,,
"""7209.1810""",6?4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,"AP,KR",,,
,,4.8,"AS R , AU R , NZ",,,
"""7209.1890""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO,TW",,,
,,4.2,"AP,KR",,,
,,4.8,"AS ,RAU ,RNZ",,,
,,,,,,
"""7209.2500""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
"""7209.2600""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.8,"AS R , AU R , NZ",,,
"""7209.2700""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
"""0001.0000""",,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,"AP,KR",,,
,,4.8,"AS R , AU R , NZ",,,
"""7209.2800""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,5,"AS , AU R , NZ",,,
"""7209.9000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,RKR,,,
,,3.8,JP,,,
,,4.2,AP,,,
"""72.10""",,,,,,
,,,,,,
"""7210.1100""",9,0,"AS,CL,PK,NZ,SG,",0,LD,20
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,RAS ,RAU , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,5.4,RS,,,
,,6,KR,,,
,,6.4,JP,,,
,,7.2,NI,,,
,,7.9,EC,,,
"""7210.1200""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.5,"AS , AU ,RNZ",,,
"""7210.2000""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7210.3000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,6.4,"AS R , AU R , NZ ,EC",,,
"""7210.4100""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,7.1,EC,,,
"""7210.4910""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.2,"AS R , AU R , NZ",,,
"""7210.4990""",4,0,"AS,CL,PK,NZ,PE,CR,",,,
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.2,"AS , AU ,RNZ",,,
"""7210.5000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"KR ,NI,EC",,,
,,5.1,JP,,,
"""7210.6100""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,6.4,"AS R , AU R , NZ",,,
,,7.1,EC,,,
"""7210.6900""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"AS ,NI",,,
,,5.1,JP,,,
,,6.4,"RAU , NZ",,,
,,7.1,EC,,,
"""7210.7010""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1,KR,,,
,,2.4,"AS R , AU R , KR , NZ",,,
,,3,JP,,,
"""7210.7090""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1,KR,,,
,,2.4,"AS R , AU R , KR R , NZ",,,
,,3,JP,,,
"""7210.9000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,2.1,KR,,,
,,4.8,"RAS R , AU R , KR R , NZ ,",,,
,,NI,,,,
,,6,JP,,,
,,6.4,EC,,,
"""72.11""",,,,,,
,,,,,,
"""7211.1300""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"AS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
"""7211.1400""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
"""7211.1900""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.6,KR,,,
,,3.6,"AS R , AU R , KR R , NZ",,,
,,4.5,JP,,,
"""7211.2300""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.6,KR,,,
,,3.6,"AS R , AU , KR R , NZ",,,
,,4.5,JP,,,
"""7211.2900""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.6,KR,,,
,,3.6,"AS , AU R , KR R , NZ",,,
,,4.5,JP,,,
"""7211.9000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,RJP,,,
"""72.12""",,,,,,
,,,,,,
"""7212.1000""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.2,JP,,,
"""7212.2000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,2.1,KR,,,
,,4.8,NI,,,
,,5.9,"AS R , KR",,,
,,6,JP,,,
,,6.4,"AU ,RNZ ,EC",,,
"""7212.3000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"KR ,NI",,,
,,5.1,JP,,,
,,6.4,EC,,,
"""7212.4000""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1,KR,,,
,,2.4,"AS R , AU R , KR R , NZ",,,
,,3,JP,,,
"""7212.5000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,2.1,KR,,,
,,4.8,NI,,,
,,5.9,"AS , KR",,,
,,6,JP,,,
,,6.4,"AU , NZ",,,
"""7212.6000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"RKR ,NI",,,
,,5.1,JP,,,
,,6.4,EC,,,
"""72.13""",,,,,,
"""7213.1000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7213.2000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,0.8,KR,,,
,,1.8,"AS , AU R , KR ,RNZ",,,
,,2.3,JP,,,
"""7213.9100""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.8,JP,,,
,,4.3,AP,,,
"""7213.9900""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.3,KR,,,
,,3,"AS , AU ,RKR R , NZ",,,
,,3.8,JP,,,
"""72.14""",,,,,,
,,,,,,
"""7214.1000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,10
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,NI,",,,
,,,"RS,MV,HK,MO",,,
,,4.2,"KR ,EC",,,
,,4.5,JP,,,
"""7214.2000""",3,0,"AP,AS,CL,PK,NZ,",0,LD,20
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,RAS , AU R , JP , KR ,",,,
,,,"RNZ ,KH,NI,EC,RS,MV,",,,
,,,"HK,MO",,,
"""7214.3000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"RS,MV,HK,MO",,,
,,4.2,"KR ,EC",,,
,,4.5,JP,,,
"""7214.9100""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7214.9900""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,1.8,"AS R , AU , KR R , NZ",,,
,,2.4,RJP,,,
"""72.15""",,,,,,
"""7215.1000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.2,KR,,,
,,4.5,JP,,,
"""7215.5000""",7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.8,KR,,,
,,4.2,"AS , AU R , KR ,RNZ",,,
,,5.3,JP,,,
"""7215.9000""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""72.16""",,,,,,
"""-H,""",,,,,,
,,,,,,
"""7216.1010""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.1020""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.1090""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
,,,,,,
"""3.333333333""",,,,,,
"""7216.2100""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
"""7216.2200""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""-H,""",,,,,,
,,,,,,
"""7216.3100""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
"""7216.3210""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,RKR,,,
,,3.8,JP,,,
"""7216.3290""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,RKR,,,
,,3.8,JP,,,
"""H""",,,,,,
"""-200""",,,,,,
"""7216.3311""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.3319""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.6,KR,,,
,,3.6,"AS R , AU R , KR , NZ",,,
,,4.5,JP,,,
"""7216.3390""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.6,KR,,,
,,3.8,JP,,,
,,,,,,
,,,,,,
"""3.333333333""",,,,,,
"""7216.4010""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RJP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.4020""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
"""7216.5010""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.5020""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.5090""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RJP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
"""7216.6100""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP ,RKR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.6900""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.9100""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7216.9900""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""72.17""",,,,,,
"""7217.1000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO,TW",,,
,,4.8,"NI,EC",,,
,,5,"AS R , AU , NZ",,,
"""7217.2000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,"KR ,NI",,,
,,5.1,JP,,,
"""7217.3010""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"NI,EC",,,
,,5,"RAS , AU R , NZ",,,
,,6.4,"AP,KR",,,
"""7217.3090""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,2.1,KR,,,
,,4.8,NI,,,
,,5.9,"AS R , KR",,,
,,6,JP,,,
,,6.4,"AP,RAU ,RNZ",,,
"""7217.9000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"KR ,NI,EC",,,
,,5.1,RJP,,,
"""72.18""",,,,,,
"""7218.1000""",2?0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7218.9100""",2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7218.9900""",2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""72.19""",,,,,,
,,,,,,
"""7219.1100""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""4.75,""",,,,,,
,,,,,,
"""7219.1210""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
"""1800.0000""",,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,2.4,"AS R , AU R , KR R , NZ",,,
,,2.5,JP,,,
"""7219.1290""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,2.4,"AS R , AU R , KR R , NZ",,,
,,2.5,JP,,,
"""3,""",,,,,,
"""4.75""",,,,,,
"""7219.1312""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RJP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7219.1319""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,2.4,"AS R , AU ,RKR , NZ",,,
,,2.5,RJP,,,
"""7219.1322""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7219.1329""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO,TW",,,
,,2.4,KR,,,
,,2.5,JP,,,
"""30000""",,,,,,
"""7219.1412""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7219.1419""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7219.1422""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""7219.1429""",4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
"""7219.2100""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,2.6,KR,,,
,,5.6,AP,,,
,,8,"AS R , AU R , NZ",,,
,,8.1,JP,,,
"""7219.2200""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
"""0010.0000""",,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,4.5,KR,,,
,,5.6,AP,,,
,,8,"AS R , AU R , NZ",,,
"""7219.2300""",6,0,"AS,CL,PK,NZ,SG,",0,LD,40
"""0004.7500""",,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"RAS , JP ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO,TW",,,
,,2.6,KR,,,
,,5.6,AP,,,
