HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
,,,MO,,,
"""0106.1490""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0106.1910""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.1990""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,8.8,EC,,,
"""0106.2011""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.2019""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.2020""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,"RIS,KR,AU,GE,MU, AS ,",,MM,
,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
"""0106.2090""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"IS, RKR,  AU,  GE,MU, AS ,",,,
,,,"RAU , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0106.3110""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.3190""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
,,,,,,
"""0106.3210""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.3290""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0106.3310""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.3390""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0106.3910""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.3921""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,"RIS,  KR,  AU,GE,MU, AS ,",,MM,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0106.3923""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,"RIS,  KR,AU,GE,MU, AS ,",,MM,
,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0106.3929""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,"RIS,KR,AU,GE,MU, AS ,",,MM,
,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0106.3990""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,RJP,,,
,,8,NI,,,
,,9,EC,,,
"""0106.4110""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.4190""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU R , KR R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,RS,,,
,,6.4,JP,,,
,,8,NI,,,
,,9,"AP,EC",,,
"""0106.4910""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.4990""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,  KR,AU,GE,MU, AS ,",,,
,,,"RAU R , KR , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,RS,,,
,,6.4,JP,,,
,,8,NI,,,
,,8.8,EC,,,
,,9,AP,,,
"""0106.9011""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RJP ,RKR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
