Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
0713.33.00,,,"Kidney beans, including white pea beans (Phaseolus vulgaris)",Free,Free
,,,For sowing:,,
,01L,kg,Packed for retail sale,,
,09F,kg,Other,,
,,,Other:,,
,11H,kg,Artificially dried or dehydrated,,
,19C,kg,Other,,
0713.34.00,,,Bambara beans (Vigna subterranea or Voandzeia subterranea),Free,Free
,,,For sowing:,,
,10D,kg,Packed for retail sale,,
,15E,kg,Other,,
,,,Other:,,
,25B,kg,Artificially dried or dehydrated,,
,29E,kg,Other,,
0713.35.00,,,Cow peas (Vigna unguiculata),Free,Free
,,,For sowing:,,
,10J,kg,Packed for retail sale,,
,15K,kg,Other,,
,,,Other:,,
,25G,kg,Artificially dried or dehydrated,,
,29K,kg,Other,,
0713.39.00,,,Other,Free,Free
,,,For sowing:,,
,10G,kg,Packed for retail sale,,
,15H,kg,Other,,
,,,Other:,,
,25E,kg,Artificially dried or dehydrated,,
,29H,kg,Other,,
0713.40.00,00B,kg,Lentils,Free,Free
0713.50.00,,,Broad beans (Vicia faba varmajor) and horse beans (Vicia faba var.,,
,,,"equina, Vicia faba varminor)",Free,Free
,,,For sowing:,,
,01D,kg,Packed for retail sale,,
,09K,kg,Other,,
,,,Other:,,
,11A,kg,Artificially dried or dehydrated,,
,19G,kg,Other,,
0713.60.00,00K,kg,Pigeon peas (Cajanus cajan),Free,Free
0713.90.00,10H,kg,Other,Free,Free
7.14,,,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and",,
,,,"similar roots and tubers with high starch or inulin content, fresh,",,
,,,"chilled, frozen or dried, whether or not sliced or in the form of pellets;",,
,,,sago pith:,,
714.1,,,Manioc (cassava):,,
0714.10.10,00E,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0714.10.90,00J,.,Other,Free,Free
714.2,,,Sweet potatoes:,,
0714.20.10,00J,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0714.20.90,00B,.,Other,Free,Free
714.3,,,Yams (Dioscorea spp.):,,
0714.30.10,00B,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0714.30.90,00F,kg,Other,Free,Free
,,,"Manioc, arrowroot, salep, Jerusalem artichokes, etc.continued",,
714.4,,,Taro (Colocasia spp.):,,
0714.40.10,00F,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0714.40.90,00K,kg,Other,Free,Free
714.5,,,Yautia (Xanthosoma spp.):,,
0714.50.10,00K,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0714.50.90,00C,kg,Other,Free,Free
714.9,,,Other:,,
0714.90.20,00K,kg,"Cooked and preserved by freezing, not containing added sugar",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
0714.90.80,00B,kg,Other,Free,Free
8.01,,,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not",,
,,,shelled or peeled:,,
,,,Coconuts:,,
0801.11.00,00J,kg,Desiccated,Free,Free
0801.12.00,00C,kg,In the inner shell (endocarp),Free,Free
0801.19.00,10B,kg,Other,Free,Free
,,,Brazil nuts:,,
0801.21.00,00B,kg,In shell,Free,Free
0801.22.00,00G,kg,Shelled,Free,Free
,,,Cashew nuts:,,
0801.31.00,00F,kg,In shell,Free,Free
0801.32.00,00L,kg,Shelled,Free,Free
8.02,,,"Other nuts, fresh or dried, whether or not shelled or peeled:",,
,,,Almonds:,,
0802.11.00,00G,kg,In shell,Free,Free
0802.12.00,00A,kg,Shelled,Free,Free
,,,Hazelnuts or filberts (Corylus spp.):,,
0802.21.00,00L,kg,In shell,Free,Free
0802.22.00,00E,kg,Shelled,Free,Free
,,,Walnuts:,,
0802.31.00,00D,kg,In shell,Free,Free
0802.32.00,00J,kg,Shelled,Free,Free
,,,Chestnuts (Castanea spp.):,,
0802.41.00,00H,kg,In Shell,Free,Free
0802.42.00,00B,kg,Shelled,Free,Free
,,,Pistachios:,,
0802.51.00,00A,kg,In shell,Free,Free
0802.52.00,00F,kg,Shelled,Free,Free
,,,Macadamia nuts:,,
0802.61.00,00E,kg,In shell,Free,Free
0802.62.00,00K,kg,Shelled,Free,Free
0802.70.00,,,Kola nuts (Cola spp.),Free,Free
,10A,kg,In shell,,
,19E,kg,Shelled,,
0802.80.00,,,Areca nuts,Free,Free
,10E,kg,In shell,,
,19J,kg,Shelled,,
,,,Other:,,
0802.91.00,00F,kg,"Pine nuts, in shell",Free,Free
0802.92.00,00L,kg,"Pine nuts, shelled",Free,Free
0802.99.00,,,Other,Free,Free
,10K,kg,In shell,,
,20G,kg,Shelled,,
8.03,,,"Bananas, including plantains, fresh or dried:",,
0803.10.00,,,Plantains,Free,Free
,10H,kg,Fresh,,
,19A,kg,Dried,,
0803.90.00,,,Other,Free,Free
,10G,kg,Fresh,,
,19L,kg,Dried,,
8.04,,,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens,",,
,,,fresh or dried:,,
0804.10.00,,,Dates,Free,Free
,01G,kg,Fresh,,
,09B,kg,Dried,,
,,,"Dates, figs, pineapples, avocados, guavas, mangoes, etc.continued",,
0804.20.00,,,Figs,Free,Free
,01L,kg,Fresh,,
,09F,kg,Dried,,
0804.30.00,,,Pineapples,Free,Free
,01D,kg,Fresh,,
,09K,kg,Dried,,
0804.40.00,,,Avocados,Free,Free
,01H,kg,Fresh,,
,09C,kg,Dried,,
0804.50.00,,,"Guavas, mangoes and mangosteens",Free,Free
,01A,kg,Fresh,,
,09G,kg,Dried,,
8.05,,,"Citrus fruit, fresh or dried:",,
0805.10.00,,,Oranges,Free,Free
,01E,kg,Whole fresh,,
,09L,kg,Other,,
,,,"Mandarins (including tangerines and satsumas); clementines, wilkings",,
,,,and similar citrus hybrids:,,
0805.21.00,00E,kg,Mandarins (including tangerines and satsumas),Free,Free
0805.22.00,00K,kg,Clementines,Free,Free
0805.29.00,,,Other,Free,Free
,10J,kg,Tangelos,,
,19B,kg,Wilkings and similar citrus hybrids,,
0805.40.00,00H,kg,Grapefruit and pomelos,Free,Free
0805.50.00,,,"Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia,",,
,,,Citrus latifolia),Free,Free
,10J,kg,Lemons,,
,19B,kg,Limes,,
0805.90.00,00F,kg,Other,Free,Free
8.06,,,"Grapes, fresh or dried:",,
0806.10.00,00E,kg,Fresh,Free,Free
0806.20.00,,,Dried,Free,Free
,01G,kg,Currants,,
,09B,kg,"Raisins, including muscatels",,
,11D,kg,Sultanas,,
,19K,kg,Other,,
8.07,,,"Melons (including watermelons) and papaws (papayas), fresh:",,
,,,Melons (including watermelons):,,
0807.11.00,00H,kg,–Watermelons,Free,Free
0807.19.00,,,Other,Free,Free
,01B,kg,Musk melons,,
,05E,kg,Prince melons,,
,09H,kg,Other,,
0807.20.00,00G,kg,Papaws (papayas),Free,Free
8.08,,,"Apples, pears and quinces, fresh:",,
0808.10.00,,,Apples,Free,Free
,01K,kg,"Pulped, grated, sliced, chopped, shredded, minced, or peeled",,
,,,Whole fruit:,,
,20F,kg,EnvyTM (Scilate),,
,22B,kg,Fuji/Fuji Sports,,
,26E,kg,Granny Smith,,
,28A,kg,JazzTM (Scifresh),,
,32K,kg,Pacific QueenTM/New Zealand Queen (Scired),,
,34F,kg,Pacific RoseTM/New Zealand Rose (Sciros),,
,36B,kg,Pink LadyTM/(Cripp’s Pink/Rosie Glow),,
,50H,kg,Braeburn/Red Braeburn/Braeburn Sport,,
,52D,kg,DazzleTM (PremA129),,
,54L,kg,Honeycrisp,,
,56G,kg,Koru® (Plumac),,
,58C,kg,RockitTM (PremA96),,
,60E,kg,Royal Gala/Gala,,
,79F,kg,Other,,
,,,"Apples, pears and quinces, freshcontinued",,
0808.30.00,,,Pears,Free,Free
,10F,kg,Belle de Jumet,,
,15G,kg,Beurre Bosc,,
,17C,kg,Doyenne Du Comice,,
,21A,kg,European,,
,25D,kg,Green pears,,
,27L,kg,Nashi,,
,31J,kg,Red pears,,
,35A,kg,Taylor’s Gold,,
,49A,kg,Other,,
0808.40.00,00B,kg,Quinces,Free,Free
8.09,,,"Apricots, cherries, peaches (including nectarines), plums and sloes,",,
,,,fresh:,,
0809.10.00,00K,kg,–Apricots,Free,Free
,,,Cherries:,,
0809.21.00,00H,kg,Sour cherries (Prunus cerasus),Free,Free
0809.29.00,00D,kg,Other,Free,Free
0809.30.00,,,"Peaches, including nectarines",Free,Free
,01E,kg,Nectarines,,
,09L,kg,Other,,
0809.40.00,,,Plums and sloes,Free,Free
,01J,kg,Plums,,
,09D,kg,Sloes,,
8.1,,,"Other fruit, fresh:",,
0810.10.00,00C,kg,Strawberries,Free,Free
0810.20.00,,,"Raspberries, blackberries, mulberries and loganberries",Free,Free
,01E,kg,Raspberries,,
,09L,kg,Blackberries,,
,19H,kg,Other,,
0810.30.00,,,"Black, white or red currants and gooseberries",Free,Free
,10H,kg,Black currants,,
,19A,kg,Other,,
0810.40.00,,,"Cranberries, bilberries and other fruits of the genus Vaccinium",Free,Free
