Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
4407.99.01,,,Planed,Free,Free
,10C,m3,"Square dressed, structural",,
,19G,m3,Other,,
4407.99.09,10D,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.99.19,10K,m3,Other,Free,Free
,,,Eucalyptus species:,,
4407.99.21,,,Planed,Free,Free
,01E,m3,"Square dressed, structural",,
,09L,m3,Other,,
4407.99.29,00H,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
4407.99.39,00C,m3,Other,Free,Free
,,,Other:,,
4407.99.41,,,Planed,Free,Free
,11C,m3,"Square dressed, structural",,
,29F,m3,Other,,
,,,"Wood sawn or chipped lengthwise, sliced or peeled, etc.continued",,
,,,Othercontinued,,
,,,Othercontinued,,
,,,Othercontinued,,
4407.99.49,11D,m3,Sanded or finger-jointed,5,Free
,,,,,*See Below
,,,,,CA Free
4407.99.59,,,Other,Free,Free
,10A,m3,Tawa,,
,29B,m3,Other,,
44.08,,,Sheets for veneering (including those obtained by slicing laminated,,
,,,"wood), for plywood or for similar laminated wood and other wood,",,
,,,"sawn lengthwise, sliced or peeled, whether or not planed, sanded,",,
,,,"spliced or end-jointed, of a thickness not exceeding 6 mm:",,
4408.1,,,Coniferous:,,
4408.10.01,,,Planed,Free,Free
,01B,m3,Pinus radiata,,
,09H,m3,"Pseudotsuga douglasii (ÄúDouglas firÄù, ÄúOregon pineÄù)",,
,19E,m3,Other,,
4408.10.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,Not exceeding 1 mm in thickness:,,
,,,Rotary:,,
,01C,m3,Sequoia sempervirens (redwood),,
,09J,m3,"Pseudotsuga douglasii (ÄúDouglas firÄù, ÄúOregon pineÄù)",,
,11L,m3,Pinus radiata,,
,19F,m3,"Juniperus virginiana (Äúeastern red cedarÄù),",,
,,,"Pinus lambertiana, Pinus strobus, Pinus monticola",,
,21H,m3,Thuja plicata (Äúwestern red cedarÄù),,
,25L,m3,Rimu,,
,29C,m3,Other,,
,,,Sliced:,,
,31E,m3,Sequoia sempervirens (redwood),,
,35H,m3,"Pseudotsuga douglasii (ÄúDouglas firÄù, ÄúOregon pineÄù)",,
,39L,m3,Pinus radiata,,
,41B,m3,"Juniperus virginiana (Äúeastern red cedarÄù),",,
,,,"Pinus lambertiana, Pinus strobus, Pinus monticola",,
,45E,m3,Thuja plicata (Äúwestern red cedarÄù),,
